sample_id,tcga,tissue,tissue_subtype,ic50,auc
KOSC-2,HNSC,aero_digestive_tract,head_and_neck,0.0501,0.462
OSC-19,HNSC,aero_digestive_tract,head_and_neck,0.0511,0.465
TE-12,ESCA,aero_digestive_tract,oesophagus,0.0578,0.485
BICR31,HNSC,aero_digestive_tract,head_and_neck,0.0586,0.486
CAL-27,HNSC,aero_digestive_tract,head_and_neck,0.0589,0.487
KYSE-150,ESCA,aero_digestive_tract,oesophagus,0.0594,0.488
TE-11,ESCA,aero_digestive_tract,oesophagus,0.06,0.489
SCC-25,HNSC,aero_digestive_tract,head_and_neck,0.0601,0.49
KYSE-220,ESCA,aero_digestive_tract,oesophagus,0.0638,0.5
OSC-20,HNSC,aero_digestive_tract,head_and_neck,0.0725,0.518
Detroit562,HNSC,aero_digestive_tract,head_and_neck,0.0731,0.522
BICR78,HNSC,aero_digestive_tract,head_and_neck,0.0748,0.523
PE-CA-PJ15,HNSC,aero_digestive_tract,head_and_neck,0.0759,0.526
HCE-4,ESCA,aero_digestive_tract,oesophagus,0.076,0.529
TE-6,ESCA,aero_digestive_tract,oesophagus,0.0818,0.536
SKN-3,HNSC,aero_digestive_tract,head_and_neck,0.0849,0.542
CAL-33,HNSC,aero_digestive_tract,head_and_neck,0.0941,0.561
SAS,HNSC,aero_digestive_tract,head_and_neck,0.0991,0.566
HO-1-u-1,HNSC,aero_digestive_tract,head_and_neck,0.0999,0.572
SAT,HNSC,aero_digestive_tract,head_and_neck,0.114,0.574
SCC-15,HNSC,aero_digestive_tract,head_and_neck,0.125,0.591
TE-9,ESCA,aero_digestive_tract,oesophagus,0.132,0.612
FADU,HNSC,aero_digestive_tract,head_and_neck,0.135,0.619
SCC90,HNSC,aero_digestive_tract,head_and_neck,0.143,0.606
KYSE-520,ESCA,aero_digestive_tract,oesophagus,0.144,0.611
LB771-HNC,HNSC,aero_digestive_tract,head_and_neck,0.149,0.62
HSC-4,HNSC,aero_digestive_tract,head_and_neck,0.167,0.631
JHU-022,HNSC,aero_digestive_tract,head_and_neck,0.193,0.653
PCI-30,HNSC,aero_digestive_tract,head_and_neck,0.196,0.658
A253,UNCLASSIFIED,aero_digestive_tract,head_and_neck,0.208,0.685
DOK,HNSC,aero_digestive_tract,head_and_neck,0.26,0.677
BB49-HNC,HNSC,aero_digestive_tract,head_and_neck,0.265,0.686
BICR10,HNSC,aero_digestive_tract,head_and_neck,0.274,0.707
PCI-38,HNSC,aero_digestive_tract,head_and_neck,0.283,0.726
BICR22,HNSC,aero_digestive_tract,head_and_neck,0.318,0.728
HN,HNSC,aero_digestive_tract,head_and_neck,0.372,0.772
UDSCC2,UNCLASSIFIED,aero_digestive_tract,head_and_neck,0.491,0.755
EC-GI-10,ESCA,aero_digestive_tract,oesophagus,0.544,0.812
SCC-9,HNSC,aero_digestive_tract,head_and_neck,0.606,0.79
SK-MM-2,MM,blood,myeloma,0.00514,0.155
RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.00574,0.185
ALL-PO,ALL,blood,lymphoblastic_leukemia,0.00629,0.178
CMK,LAML,blood,acute_myeloid_leukaemia,0.00633,0.142
NB4,LAML,blood,acute_myeloid_leukaemia,0.00667,0.141
SUP-B15,ALL,blood,lymphoblastic_leukemia,0.00674,0.17
ALL-SIL,ALL,blood,T_cell_leukemia,0.0071,0.159
RS4-11,ALL,blood,leukemia,0.00712,0.169
KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,0.0073,0.14
KE-37,ALL,blood,lymphoblastic_leukemia,0.00792,0.149
MOLP-8,MM,blood,myeloma,0.00796,0.19
SU-DHL-6,DLBC,blood,B_cell_lymphoma,0.00812,0.146
HH,UNCLASSIFIED,blood,T_cell_leukemia,0.00822,0.236
CA46,UNCLASSIFIED,blood,Burkitt_lymphoma,0.00832,0.211
KARPAS-45,ALL,blood,lymphoblastic_leukemia,0.00858,0.177
BL-70,UNCLASSIFIED,blood,Burkitt_lymphoma,0.00862,0.176
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,0.00887,0.174
ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,0.00911,0.195
SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.00914,0.198
LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,0.0096,0.189
JSC-1,DLBC,blood,B_cell_lymphoma,0.00979,0.22
MY-M12,ALL,blood,leukemia,0.0098,0.236
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.01,0.196
LC4-1,ALL,blood,lymphoblastic_leukemia,0.0105,0.243
NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,0.0107,0.208
SU-DHL-16,DLBC,blood,B_cell_lymphoma,0.0108,0.187
GDM-1,LAML,blood,acute_myeloid_leukaemia,0.0109,0.23
SU-DHL-5,DLBC,blood,B_cell_lymphoma,0.0111,0.196
OCI-AML5,LAML,blood,acute_myeloid_leukaemia,0.0111,0.225
RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,0.0112,0.215
BC-2,UNCLASSIFIED,blood,B_cell_lymphoma,0.0114,0.249
NKM-1,LAML,blood,acute_myeloid_leukaemia,0.0116,0.246
HEL,LAML,blood,acute_myeloid_leukaemia,0.0116,0.219
MV-4-11,UNCLASSIFIED,blood,leukemia,0.012,0.221
QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,0.0127,0.252
NU-DUL-1,DLBC,blood,B_cell_lymphoma,0.0131,0.233
SIG-M5,LAML,blood,acute_myeloid_leukaemia,0.0132,0.223
DND-41,ALL,blood,T_cell_leukemia,0.0133,0.246
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,0.0133,0.24
A4-Fuk,DLBC,blood,B_cell_lymphoma,0.014,0.273
SU-DHL-8,DLBC,blood,B_cell_lymphoma,0.0148,0.269
Toledo,UNCLASSIFIED,blood,B_cell_lymphoma,0.0148,0.291
P30-OHK,ALL,blood,lymphoblastic_leukemia,0.0149,0.257
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,0.0149,0.244
KMS-12-BM,MM,blood,myeloma,0.0155,0.262
PF-382,ALL,blood,lymphoblastic_T_cell_leukaemia,0.0159,0.273
SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.0164,0.282
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,0.0164,0.262
YT,ALL,blood,lymphoid_neoplasm_other,0.0168,0.277
KARPAS-620,MM,blood,haematopoietic_neoplasm_other,0.0173,0.283
JM1,DLBC,blood,B_cell_lymphoma,0.0176,0.286
OCI-LY-19,DLBC,blood,B_cell_lymphoma,0.0181,0.297
AMO-1,MM,blood,haematopoietic_neoplasm_other,0.0183,0.292
ARH-77,MM,blood,myeloma,0.0183,0.304
MOLT-4,ALL,blood,lymphoblastic_leukemia,0.0184,0.287
A3-KAW,DLBC,blood,B_cell_lymphoma,0.0186,0.287
SLVL,DLBC,blood,B_cell_lymphoma,0.019,0.317
CESS,LAML,blood,acute_myeloid_leukaemia,0.019,0.298
KU812,LCML,blood,chronic_myeloid_leukaemia,0.0191,0.304
MOLM-13,LAML,blood,acute_myeloid_leukaemia,0.0191,0.307
L-363,MM,blood,myeloma,0.0192,0.3
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,0.0193,0.303
P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,0.0197,0.294
Sci-1,UNCLASSIFIED,blood,B_cell_lymphoma,0.0197,0.301
J-RT3-T3-5,UNCLASSIFIED,blood,lymphoblastic_T_cell_leukaemia,0.02,0.308
DB,DLBC,blood,B_cell_lymphoma,0.0202,0.331
BV-173,LCML,blood,chronic_myeloid_leukaemia,0.0203,0.311
REH,UNCLASSIFIED,blood,B_cell_leukemia,0.0209,0.322
BC-1,DLBC,blood,B_cell_lymphoma,0.0212,0.314
CTB-1,DLBC,blood,B_cell_lymphoma,0.0214,0.352
HL-60,LAML,blood,acute_myeloid_leukaemia,0.0214,0.321
WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.0217,0.315
K052,UNCLASSIFIED,blood,acute_myeloid_leukaemia,0.0221,0.317
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,0.0225,0.314
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.0232,0.336
OCI-M1,LAML,blood,acute_myeloid_leukaemia,0.0232,0.321
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,0.0235,0.332
HDLM-2,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.0236,0.343
TUR,DLBC,blood,B_cell_lymphoma,0.0244,0.343
MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,0.0246,0.343
MC-CAR,MM,blood,haematopoietic_neoplasm_other,0.0247,0.343
NK-92MI,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.025,0.347
CTV-1,LAML,blood,acute_myeloid_leukaemia,0.0252,0.338
EHEB,CLL,blood,lymphoid_neoplasm_other,0.0253,0.378
KARPAS-422,DLBC,blood,B_cell_lymphoma,0.0258,0.357
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.0262,0.344
MC116,DLBC,blood,B_cell_lymphoma,0.0265,0.341
Ramos-2G6-4C10,UNCLASSIFIED,blood,Burkitt_lymphoma,0.0269,0.354
BE-13,ALL,blood,lymphoblastic_leukemia,0.027,0.36
DOHH-2,DLBC,blood,B_cell_lymphoma,0.0273,0.365
MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.0281,0.371
OPM-2,MM,blood,myeloma,0.0282,0.358
MEG-01,LCML,blood,chronic_myeloid_leukaemia,0.029,0.372
NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,0.0291,0.366
HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.0294,0.375
Farage,DLBC,blood,B_cell_lymphoma,0.0301,0.37
SUP-HD1,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.0305,0.38
KCL-22,LCML,blood,chronic_myeloid_leukaemia,0.0307,0.374
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,0.0317,0.392
Hs-445,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.0319,0.386
EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,0.0328,0.389
Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,0.0328,0.388
L-1236,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.033,0.387
WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,0.0331,0.389
OCI-AML3,LAML,blood,acute_myeloid_leukaemia,0.0337,0.391
JJN-3,MM,blood,haematopoietic_neoplasm_other,0.0349,0.395
TK,DLBC,blood,B_cell_lymphoma,0.0361,0.405
KG-1,LAML,blood,acute_myeloid_leukaemia,0.0361,0.405
HT,DLBC,blood,B_cell_lymphoma,0.0375,0.412
JURL-MK1,LCML,blood,chronic_myeloid_leukaemia,0.0378,0.416
EJM,MM,blood,lymphoid_neoplasm_other,0.0385,0.413
JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,0.0416,0.427
ML-2,LAML,blood,acute_myeloid_leukaemia,0.0422,0.43
ME-1,LAML,blood,acute_myeloid_leukaemia,0.0425,0.437
KMOE-2,LAML,blood,acute_myeloid_leukaemia,0.0433,0.435
RPMI-8226,MM,blood,myeloma,0.0435,0.434
HAL-01,ALL,blood,lymphoblastic_leukemia,0.045,0.441
LP-1,MM,blood,myeloma,0.0467,0.446
NOMO-1,LAML,blood,acute_myeloid_leukaemia,0.047,0.454
SU-DHL-4,DLBC,blood,B_cell_lymphoma,0.0488,0.451
L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.0488,0.455
BC-3,DLBC,blood,B_cell_lymphoma,0.05,0.459
K-562,LCML,blood,chronic_myeloid_leukaemia,0.0523,0.467
MEC-1,UNCLASSIFIED,blood,B_cell_leukemia,0.0534,0.472
KARPAS-299,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.0537,0.47
TF-1,UNCLASSIFIED,blood,acute_myeloid_leukaemia,0.0595,0.488
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,0.0605,0.491
GR-ST,ALL,blood,lymphoblastic_leukemia,0.061,0.493
JVM-3,CLL,blood,lymphoid_neoplasm_other,0.0612,0.493
ROS-50,UNCLASSIFIED,blood,B_cell_leukemia,0.0653,0.503
Raji,UNCLASSIFIED,blood,Burkitt_lymphoma,0.0675,0.509
L-428,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.0706,0.517
THP-1,LAML,blood,acute_myeloid_leukaemia,0.0734,0.523
PL-21,LAML,blood,acute_myeloid_leukaemia,0.0768,0.527
SCC-3,DLBC,blood,B_cell_lymphoma,0.078,0.536
MN-60,UNCLASSIFIED,blood,B_cell_leukemia,0.0798,0.534
SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.0812,0.542
VAL,DLBC,blood,B_cell_lymphoma,0.0814,0.538
RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,0.082,0.541
P3HR-1,UNCLASSIFIED,blood,Burkitt_lymphoma,0.083,0.544
KM-H2,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.0831,0.545
GRANTA-519,DLBC,blood,B_cell_lymphoma,0.0928,0.562
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,0.0975,0.567
KY821,LAML,blood,leukemia,0.106,0.585
TALL-1,ALL,blood,lymphoblastic_T_cell_leukaemia,0.106,0.582
EM-2,LCML,blood,chronic_myeloid_leukaemia,0.109,0.58
RC-K8,DLBC,blood,B_cell_lymphoma,0.11,0.592
RL,DLBC,blood,B_cell_lymphoma,0.122,0.606
EB-3,UNCLASSIFIED,blood,Burkitt_lymphoma,0.128,0.602
P31-FUJ,LAML,blood,acute_myeloid_leukaemia,0.133,0.63
SU-DHL-1,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,0.157,0.661
HD-MY-Z,UNCLASSIFIED,blood,Hodgkin_lymphoma,0.254,0.711
DG-75,UNCLASSIFIED,blood,Burkitt_lymphoma,0.318,0.741
IM-9,MM,blood,myeloma,0.76,0.872
JVM-2,CLL,blood,lymphoid_neoplasm_other,0.927,0.837
Mo-T,UNCLASSIFIED,blood,hairy_cell_leukaemia,0.939,0.864
WSU-DLCL2,DLBC,blood,B_cell_lymphoma,6.08,0.989
EW-13,UNCLASSIFIED,bone,ewings_sarcoma,0.0108,0.246
NOS-1,UNCLASSIFIED,bone,osteosarcoma,0.0137,0.287
ES4,UNCLASSIFIED,bone,ewings_sarcoma,0.0139,0.282
EW-16,UNCLASSIFIED,bone,ewings_sarcoma,0.0183,0.311
ES8,UNCLASSIFIED,bone,ewings_sarcoma,0.0186,0.302
NY,UNCLASSIFIED,bone,osteosarcoma,0.0202,0.32
ES5,UNCLASSIFIED,bone,ewings_sarcoma,0.0222,0.345
ES1,UNCLASSIFIED,bone,ewings_sarcoma,0.0262,0.359
ES6,UNCLASSIFIED,bone,ewings_sarcoma,0.0269,0.377
EW-1,UNCLASSIFIED,bone,ewings_sarcoma,0.0281,0.365
MHH-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,0.0286,0.372
EW-7,UNCLASSIFIED,bone,ewings_sarcoma,0.0292,0.369
EW-18,UNCLASSIFIED,bone,ewings_sarcoma,0.0332,0.399
SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,0.0363,0.413
MG-63,UNCLASSIFIED,bone,osteosarcoma,0.0436,0.443
SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,0.0479,0.455
HOS,UNCLASSIFIED,bone,osteosarcoma,0.0497,0.456
EW-11,UNCLASSIFIED,bone,ewings_sarcoma,0.0511,0.468
SJSA-1,UNCLASSIFIED,bone,bone_other,0.0576,0.484
RD-ES,UNCLASSIFIED,bone,ewings_sarcoma,0.0586,0.486
U-2-OS,UNCLASSIFIED,bone,osteosarcoma,0.0787,0.532
ES3,UNCLASSIFIED,bone,ewings_sarcoma,0.0855,0.545
ES7,UNCLASSIFIED,bone,ewings_sarcoma,0.0914,0.556
CS1,UNCLASSIFIED,bone,bone_other,0.102,0.57
OSA-80,UNCLASSIFIED,bone,osteosarcoma,0.105,0.564
HuO-3N1,UNCLASSIFIED,bone,osteosarcoma,0.117,0.584
CHSA0108,UNCLASSIFIED,bone,chondrosarcoma,0.119,0.592
Saos-2,UNCLASSIFIED,bone,osteosarcoma,0.164,0.625
TC-71,UNCLASSIFIED,bone,ewings_sarcoma,0.172,0.668
EW-3,UNCLASSIFIED,bone,ewings_sarcoma,0.203,0.668
CAL-72,UNCLASSIFIED,bone,osteosarcoma,0.249,0.693
CHSA0011,UNCLASSIFIED,bone,chondrosarcoma,0.548,0.768
H-EMC-SS,UNCLASSIFIED,bone,chondrosarcoma,0.682,0.801
EW-24,UNCLASSIFIED,bone,ewings_sarcoma,0.724,0.863
Sarc9371,UNCLASSIFIED,bone,bone_other,1.15,0.821
CAL-78,UNCLASSIFIED,bone,chondrosarcoma,1.81,0.898
HuO9,UNCLASSIFIED,bone,osteosarcoma,1.84,0.905
CHSA8926,UNCLASSIFIED,bone,chondrosarcoma,5.52,0.931
G-292-Clone-A141B1,UNCLASSIFIED,bone,osteosarcoma,26.2,0.966
CAL-85-1,BRCA,breast,breast,0.0111,0.265
HCC1428,BRCA,breast,breast,0.0129,0.268
DU-4475,BRCA,breast,breast,0.0158,0.264
OCUB-M,BRCA,breast,breast,0.016,0.273
MDA-MB-157,BRCA,breast,breast,0.0165,0.294
HCC2218,BRCA,breast,breast,0.017,0.317
AU565,BRCA,breast,breast,0.0192,0.323
HCC1599,BRCA,breast,breast,0.0198,0.329
HCC2157,BRCA,breast,breast,0.0204,0.327
HCC202,BRCA,breast,breast,0.0215,0.356
MDA-MB-361,BRCA,breast,breast,0.0234,0.342
MCF7,BRCA,breast,breast,0.0239,0.349
HCC38,BRCA,breast,breast,0.0256,0.362
T47D,BRCA,breast,breast,0.0278,0.393
EFM-19,BRCA,breast,breast,0.0308,0.406
EFM-192A,BRCA,breast,breast,0.0309,0.391
MDA-MB-330,BRCA,breast,breast,0.0352,0.411
HCC1419,BRCA,breast,breast,0.0357,0.422
HCC1143,BRCA,breast,breast,0.0404,0.438
CAL-148,BRCA,breast,breast,0.0418,0.43
CAMA-1,BRCA,breast,breast,0.043,0.443
HCC1500,BRCA,breast,breast,0.0432,0.439
HCC1569,BRCA,breast,breast,0.0439,0.448
BT-474,BRCA,breast,breast,0.0444,0.445
MDA-MB-453,BRCA,breast,breast,0.0486,0.458
JIMT-1,BRCA,breast,breast,0.0517,0.467
EVSA-T,BRCA,breast,breast,0.06,0.489
HCC70,BRCA,breast,breast,0.0626,0.497
CAL-51,BRCA,breast,breast,0.0628,0.497
HCC1937,BRCA,breast,breast,0.0709,0.515
MDA-MB-231,BRCA,breast,breast,0.0719,0.518
HCC1806,UNCLASSIFIED,breast,breast,0.0895,0.555
CAL-120,BRCA,breast,breast,0.0911,0.55
HCC1954,BRCA,breast,breast,0.103,0.57
MRK-nu-1,BRCA,breast,breast,0.107,0.585
COLO-824,BRCA,breast,breast,0.112,0.588
UACC-893,BRCA,breast,breast,0.116,0.582
MDA-MB-415,BRCA,breast,breast,0.138,0.605
HCC1395,BRCA,breast,breast,0.138,0.611
BT-483,BRCA,breast,breast,0.14,0.589
MDA-MB-175-VII,BRCA,breast,breast,0.17,0.646
MDA-MB-468,BRCA,breast,breast,0.18,0.664
MDA-MB-134-VI,UNCLASSIFIED,breast,breast,0.219,0.683
HDQ-P1,BRCA,breast,breast,0.296,0.715
MFM-223,BRCA,breast,breast,0.298,0.735
BT-20,BRCA,breast,breast,0.311,0.717
MDA-MB-436,BRCA,breast,breast,0.439,0.756
UACC-812,BRCA,breast,breast,1.64,0.919
HCC1187,BRCA,breast,breast,1.92,0.932
Hs-578-T,BRCA,breast,breast,16.7,0.986
IM-95,STAD,digestive_system,stomach,0.0138,0.274
JHH-1,LIHC,digestive_system,liver,0.0138,0.275
SNU-398,LIHC,digestive_system,liver,0.0144,0.276
COLO-205,COREAD,digestive_system,large_intestine,0.0145,0.272
RF-48,STAD,digestive_system,stomach,0.0146,0.286
SW837,COREAD,digestive_system,large_intestine,0.0146,0.302
HGC-27,STAD,digestive_system,stomach,0.0152,0.262
ETK-1,UNCLASSIFIED,digestive_system,biliary_tract,0.0177,0.313
Hep3B2-1-7,LIHC,digestive_system,liver,0.0185,0.308
OUMS-23,UNCLASSIFIED,digestive_system,large_intestine,0.0189,0.316
HT-29,COREAD,digestive_system,large_intestine,0.0191,0.312
SNU-423,LIHC,digestive_system,liver,0.0193,0.327
AGS,STAD,digestive_system,stomach,0.0209,0.317
ECC10,UNCLASSIFIED,digestive_system,stomach,0.0215,0.334
LoVo,COREAD,digestive_system,large_intestine,0.0226,0.339
HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,0.0243,0.335
LS-180,COREAD,digestive_system,large_intestine,0.0244,0.358
OCUM-1,STAD,digestive_system,stomach,0.0245,0.357
RERF-GC-1B,STAD,digestive_system,stomach,0.0261,0.367
LS-1034,COREAD,digestive_system,large_intestine,0.027,0.371
HuCCT1,UNCLASSIFIED,digestive_system,biliary_tract,0.0273,0.373
LS-411N,COREAD,digestive_system,large_intestine,0.0282,0.382
FU97,STAD,digestive_system,stomach,0.0297,0.38
RKO,COREAD,digestive_system,large_intestine,0.0299,0.376
TGBC24TKB,UNCLASSIFIED,digestive_system,biliary_tract,0.0302,0.378
T84,COREAD,digestive_system,large_intestine,0.0305,0.384
GCIY,STAD,digestive_system,stomach,0.0335,0.404
SNU-C2B,COREAD,digestive_system,large_intestine,0.0359,0.419
MKN28,STAD,digestive_system,stomach,0.0367,0.413
C3A,LIHC,digestive_system,liver,0.037,0.415
TMK-1,STAD,digestive_system,stomach,0.037,0.416
HCC-56,COREAD,digestive_system,large_intestine,0.0386,0.421
SW620,COREAD,digestive_system,large_intestine,0.0396,0.42
SNU-449,LIHC,digestive_system,liver,0.0406,0.431
NCI-H747,COREAD,digestive_system,large_intestine,0.042,0.439
HCT-116,COREAD,digestive_system,large_intestine,0.0429,0.435
HCC2998,COREAD,digestive_system,large_intestine,0.0433,0.437
COLO-320-HSR,COREAD,digestive_system,large_intestine,0.0435,0.434
GP5d,COREAD,digestive_system,large_intestine,0.0439,0.437
NUGC-3,STAD,digestive_system,stomach,0.0455,0.449
SK-HEP-1,LIHC,digestive_system,liver,0.0457,0.445
23132-87,STAD,digestive_system,stomach,0.0483,0.456
LS-123,COREAD,digestive_system,large_intestine,0.0487,0.462
JHH-6,LIHC,digestive_system,liver,0.0488,0.457
KM12,COREAD,digestive_system,large_intestine,0.0514,0.467
CCK-81,COREAD,digestive_system,large_intestine,0.0573,0.482
SNU-387,LIHC,digestive_system,liver,0.0636,0.499
HLE,LIHC,digestive_system,liver,0.064,0.5
SW1417,COREAD,digestive_system,large_intestine,0.068,0.509
MKN1,UNCLASSIFIED,digestive_system,stomach,0.0698,0.514
EGI-1,UNCLASSIFIED,digestive_system,biliary_tract,0.0709,0.514
NUGC-4,STAD,digestive_system,stomach,0.0746,0.524
C2BBe1,COREAD,digestive_system,large_intestine,0.0792,0.532
SW948,COREAD,digestive_system,large_intestine,0.084,0.536
JHH-7,LIHC,digestive_system,liver,0.0858,0.548
NCI-SNU-1,STAD,digestive_system,stomach,0.0866,0.547
SNU-182,LIHC,digestive_system,liver,0.0911,0.555
JHH-4,LIHC,digestive_system,liver,0.0926,0.559
TGBC11TKB,STAD,digestive_system,stomach,0.105,0.583
SK-CO-1,COREAD,digestive_system,large_intestine,0.105,0.581
MKN45,STAD,digestive_system,stomach,0.114,0.582
COLO-741,UNCLASSIFIED,digestive_system,large_intestine,0.122,0.602
RCM-1,COREAD,digestive_system,large_intestine,0.133,0.605
HT55,COREAD,digestive_system,large_intestine,0.135,0.617
TGBC1TKB,UNCLASSIFIED,digestive_system,biliary_tract,0.151,0.635
SNU-C1,COREAD,digestive_system,large_intestine,0.155,0.615
CaR-1,COREAD,digestive_system,large_intestine,0.167,0.623
SW48,COREAD,digestive_system,large_intestine,0.183,0.664
SNU-475,LIHC,digestive_system,liver,0.2,0.688
MDST8,COREAD,digestive_system,large_intestine,0.201,0.678
HSC-39,STAD,digestive_system,stomach,0.204,0.693
huH-1,LIHC,digestive_system,liver,0.234,0.681
LS-513,COREAD,digestive_system,large_intestine,0.246,0.703
HT-115,COREAD,digestive_system,large_intestine,0.247,0.716
NCI-SNU-5,STAD,digestive_system,stomach,0.276,0.721
JHH-2,LIHC,digestive_system,liver,0.284,0.72
HuH-7,LIHC,digestive_system,liver,0.292,0.731
PLC-PRF-5,UNCLASSIFIED,digestive_system,liver,0.302,0.733
ECC4,UNCLASSIFIED,digestive_system,digestive_system_other,0.308,0.695
SW1463,COREAD,digestive_system,large_intestine,0.339,0.694
NCI-SNU-16,STAD,digestive_system,stomach,0.353,0.772
HCT-15,COREAD,digestive_system,large_intestine,0.437,0.776
SCH,UNCLASSIFIED,digestive_system,stomach,0.492,0.788
NCI-H716,COREAD,digestive_system,large_intestine,0.66,0.8
CL-11,COREAD,digestive_system,large_intestine,0.676,0.817
